u,v,alpha,beta,weight,max_budget
9,251,2.2979105585298623,1.679865720988357,3.977776279518219,18
9,252,1.0315954959901839,1.5908233283861781,2.622418824376362,5
703,898,2.46099318217124,0.6824109531711411,3.143404135342381,18
703,1581,2.897693877516879,1.2781911197177973,4.175884997234676,7
703,1620,1.2334383305772312,1.620230242364579,2.8536685729418103,17
703,2634,1.1743564962728765,1.2824721913756771,2.456828687648554,21
703,2635,1.1596875777755944,1.8384133141728571,2.9981008919484515,25
703,2636,1.1333192508323604,1.1851432411800786,2.318462492012439,19
703,2637,2.6424340666433768,0.8007038040466843,3.443137870690061,28
703,2638,1.326806391407519,1.0586324945959988,2.385438886003518,22
703,2639,1.1320351784018345,1.1217457362101464,2.2537809146119807,29
703,2640,1.8954616164607228,1.8734553393576978,3.768916955818421,16
1287,38,1.165164358695249,1.231593799678644,2.396758158373893,25
1287,331,1.1121134954643062,0.6974184476167913,1.8095319430810974,20
1287,626,2.57952287415067,1.2020062514305554,3.7815291255812253,20
1287,1945,1.0521482472173551,1.4792013667009534,2.5313496139183087,7
1287,2690,1.900455788153925,1.2684672735237383,3.1689230616776634,11
1287,3137,1.7521540249373841,0.9081046336258973,2.6602586585632815,21
1287,3138,2.454553925433898,0.9870824982253332,3.441636423659231,7
1287,3139,2.462257588896309,1.0586313987219378,3.520888987618247,16
1287,3140,1.604392393509122,0.7472079242664594,2.3516003177755813,17
1287,3141,1.7086391450012024,0.5704968229048,2.2791359679060026,15
1895,1860,1.8697902105092654,0.6055369451210012,2.4753271556302665,13
1896,1118,2.532519035675684,1.8790920001334448,4.411611035809129,17
1896,1227,2.621271294284157,0.5315901525486225,3.15286144683278,29
1896,1334,2.3749290183688547,0.8559270763730535,3.2308560947419083,23
1896,1556,2.537245508417395,1.279394302307282,3.816639810724677,30
1896,1980,1.711846567077841,1.6600534645066307,3.371900031584472,7
1896,2333,1.8276663372760271,0.8376700658153358,2.665336403091363,19
1896,3672,1.3211791962399673,1.6929544780411818,3.0141336742811493,21
1896,3677,2.4230597690252864,0.6433989444873045,3.066458713512591,27
1896,3678,2.782536733534565,1.1327718680202652,3.9153086015548304,20
1896,3679,1.540805618702738,1.7081604265653105,3.248966045268048,8
144,8,1.3395551986491743,1.4044636587304025,2.7440188573795767,15
144,121,1.8587106922873415,0.7699287633682306,2.628639455655572,7
144,122,1.6724221393625542,0.5821633502395644,2.2545854896021185,15
144,125,2.434905262573108,1.3743215676775173,3.8092268302506254,24
144,146,2.000844936860223,1.5077683878760735,3.5086133247362965,22
144,246,1.2224958239988393,0.609445519376938,1.8319413433757772,28
144,249,2.903172584708189,1.4544490453618777,4.357621630070067,25
144,264,1.4107380833119285,0.7649995361958029,2.175737619507731,21
144,367,1.9277385353986747,1.9048232151761122,3.832561750574787,26
1669,1573,2.983117224737006,0.5886491790875763,3.571766403824582,29
1669,3023,1.041375918654056,1.194267921133419,2.235643839787475,15
1669,3216,2.0963370998998947,1.468660521314302,3.5649976212141965,15
1669,3413,2.0095409031100324,0.591906166225195,2.6014470693352276,17
1669,3414,1.0891092865926668,1.5201225453550231,2.6092318319476897,16
1669,3415,1.9156197115813935,1.2700034811347125,3.185623192716106,6
1669,3416,2.6840083143264026,0.7756034662822229,3.4596117806086255,21
1669,3417,1.8600627754184667,1.9013010051317485,3.761363780550215,6
1669,3418,2.733801885649028,1.991560677830886,4.725362563479914,22
127,9,2.044842784713134,0.8655625050655364,2.9104052897786703,21
127,144,1.1187132472137433,0.9256501006497753,2.0443633478635186,29
127,175,2.4887381934329236,1.557325469996615,4.046063663429539,5
127,177,2.569115947762101,1.5321918223787632,4.101307770140864,23
127,247,2.7634027874459948,0.5382879965851715,3.301690784031166,20
127,427,1.022363425209709,0.56593585344987,1.5882992786595789,9
127,698,1.2766479322323592,1.9358393710041752,3.2124873032365344,22
127,762,2.990061737940885,0.9172906498164213,3.9073523877573066,15
127,1246,2.1672401604676566,0.6945090254205164,2.861749185888173,23
127,2076,2.438791593541881,1.1463041340324827,3.585095727574364,21
179,4,1.5409757270413427,1.3730851743292782,2.914060901370621,26
179,9,1.5155042437084763,1.3158872074019023,2.8313914511103784,22
179,17,2.532730134082502,1.2537471465354995,3.7864772806180014,12
179,31,1.936868276622545,1.4945359474363304,3.431404224058875,6
179,123,2.2049203138761615,1.695442084108047,3.9003623979842086,30
179,125,2.5017138005672983,0.5937034132154171,3.0954172137827154,27
179,250,2.0404511572018573,0.9621517016456127,3.00260285884747,25
179,559,2.4266040289331317,1.3979214988394806,3.8245255277726122,29
179,2018,1.587506321789379,0.7532074127701835,2.3407137345595626,5
247,776,1.9438353704299955,1.1200756210455587,3.063910991475554,23
247,900,1.4230109896095904,1.634487533397871,3.057498523007461,26
247,1067,2.5110569317545677,1.8542690824312333,4.365326014185801,20
247,1068,2.4275490973295644,1.66633167585957,4.0938807731891345,13
247,1069,2.734340267793914,0.7171109903674793,3.451451258161393,16
247,1070,2.3233804061587646,0.9019783492395421,3.2253587553983065,23
247,1071,1.957625125542949,1.2237328346272829,3.181357960170232,13
247,1072,2.4270162202695262,1.6103411193072499,4.037357339576776,24
247,1073,2.253656384771576,0.8269424282982537,3.0805988130698294,19
247,1074,1.537930382814331,1.5982695448736317,3.1361999276879624,7
249,123,2.7282351641140705,1.245761590754374,3.9739967548684447,11
249,250,1.2070348946867748,0.9397602307396031,2.1467951254263777,20
249,251,2.064470969139167,1.3275072403938963,3.3919782095330637,5
249,351,1.098276999241742,0.7113029897683121,1.8095799890100541,10
249,753,1.8024111680680635,1.8274649331330166,3.62987610120108,5
249,755,2.197107816032863,0.654247861202683,2.8513556772355457,13
249,762,2.499664403694581,1.4927946660043085,3.9924590696988895,22
249,983,2.0160726923862065,0.9319871506110815,2.9480598429972877,13
264,249,2.234253506672717,0.9849560024689297,3.2192095091416464,15
264,697,2.543877890308365,0.9287280889113796,3.4726059792197446,23
264,1787,2.7560401071288574,1.4698614560859662,4.225901563214824,26
264,2193,1.6097495689134405,0.5205041335527829,2.1302537024662236,30
264,2194,2.0679432052808826,1.3652354669148477,3.43317867219573,16
264,2224,1.2479492719353762,0.7260535179984263,1.9740027899338024,25
264,2225,1.3986465900403275,1.3871574257526504,2.785804015792978,17
264,2226,2.812720669888235,1.746447962040364,4.559168631928599,22
264,2227,1.8559757790748435,0.5213790507574771,2.3773548298323206,11
264,2228,2.5216604489334795,0.8864386177942212,3.4080990667277007,29
353,122,1.597122295579961,1.7490199999199365,3.346142295499898,9
353,123,2.5243717117816837,1.7092643987373566,4.23363611051904,13
353,127,2.929603953817738,1.4090135892860247,4.338617543103762,12
353,249,2.2826525767408334,1.5771224984348269,3.8597750751756603,19
353,251,1.2932556622038136,1.749217158877617,3.0424728210814305,14
353,367,2.6106552344246876,0.6453935777829447,3.2560488122076325,10
353,368,2.3608869807862174,1.412505853495826,3.7733928342820433,18
353,666,1.1849451879432613,1.1532130475295737,2.338158235472835,26
353,754,2.2942957283216927,1.644547040289078,3.9388427686107708,14
353,856,1.3834337199344797,1.9342003667841818,3.3176340867186616,21
424,940,2.678916972148063,1.4902838202040722,4.169200792352135,22
424,960,2.6353139211750003,1.2664508087971253,3.9017647299721254,30
424,2409,1.607362477910634,0.9683907535000251,2.5757532314106593,19
424,2410,1.0299986052877672,0.9859356229025379,2.015934228190305,26
424,2411,2.125360128198733,1.8492192501313953,3.9745793783301284,12
424,2412,1.1261271754496514,0.824467631791066,1.9505948072407173,25
424,2413,1.2619358648209693,1.2490128568180932,2.5109487216390622,13
424,2414,2.2511189030325296,0.9039768874982533,3.155095790530783,28
424,2415,2.856178139914028,0.855182194661436,3.7113603345754638,25
145,149,2.791616013892619,1.7574660108789701,4.5490820247715895,24
145,246,2.190928120226828,1.9728853881746835,4.163813508401511,18
145,265,2.5757613134824977,1.6550818303446613,4.230843143827159,24
145,367,1.4722164665823267,1.4128925198134177,2.8851089863957444,9
145,390,2.2137065952161654,0.8269544799321735,3.040661075148339,24
145,667,2.9914261816016614,0.8087384390409846,3.8001646206426463,24
145,717,2.4014643534653475,1.2399452798962476,3.641409633361595,29
145,1317,2.340547870869279,1.0203998064674817,3.3609476773367604,11
145,2098,1.8897507336933907,1.737340731023519,3.6270914647169095,10
176,5,1.0485238809038877,1.9439389190688403,2.992462799972728,27
176,248,1.4621105172331978,1.5234691178895117,2.9855796351227095,10
176,369,1.5949912671104243,1.2731352863316405,2.868126553442065,28
176,697,2.5312131813519607,0.9442135929638965,3.4754267743158573,29
176,700,1.0345263676170957,1.9081233454187132,2.942649713035809,26
176,946,2.448355003617067,0.9546567774805095,3.403011781097576,25
176,947,2.814784859997185,1.8054384333819125,4.620223293379097,10
176,2001,2.2569495752579174,1.5220782661436587,3.779027841401576,15
176,2122,1.9156089128867178,0.6199826426778554,2.535591555564573,15
177,143,2.7198042362858104,1.0057181550413616,3.7255223913271722,15
177,145,2.6141093299000793,1.1524211497632604,3.7665304796633396,6
177,149,1.7572863190677543,1.374800588938482,3.1320869080062366,19
177,266,2.768511684732169,1.4563114619137125,4.224823146645882,22
177,367,1.5260358042301447,1.958413207105849,3.484449011335994,26
177,368,2.5576952358254705,0.5980941380179621,3.1557893738434326,26
177,559,1.5906796147118787,0.8333535790601301,2.4240331937720088,7
177,856,1.2247977742197313,0.5192677658762139,1.7440655400959453,24
177,1245,1.0859072175505318,0.8001176804064382,1.88602489795697,16
753,9,2.7566048588772603,1.8404053320569875,4.597010190934248,18
753,121,2.3396050418394845,1.5624509953364663,3.9020560371759507,21
753,122,1.935480092346313,0.9928170612033674,2.9282971535496802,8
753,127,1.8579920973296835,0.6067575813128765,2.4647496786425602,9
753,128,1.879760295840162,0.5946038821149644,2.4743641779551266,18
753,129,1.8351215587888658,1.115415970110648,2.950537528899514,15
753,145,2.6273235651637314,0.6143106897701782,3.24163425493391,14
753,177,1.707402080146043,1.9351243735423056,3.6425264536883484,26
753,367,1.89888512526829,1.829284767536467,3.7281698928047566,25
762,3,1.2045567727478854,1.8669630783528248,3.0715198511007102,14
762,175,1.213944455549445,1.450581884062065,2.66452633961151,23
762,176,2.1083750754099144,0.5559641994611946,2.664339274871109,7
762,251,2.448202869732607,1.5556261946582874,4.003829064390894,7
762,264,2.1281949806403215,0.5883396506380034,2.716534631278325,23
762,266,1.183907509675514,1.9852442944893705,3.1691518041648843,22
762,559,2.976450659981021,1.358410271236347,4.334860931217368,10
762,754,1.3750913296772835,0.7067601164086665,2.08185144608595,10
762,2001,2.8848145498211943,0.5870842053651271,3.4718987551863214,15
762,2018,2.4285378118831957,1.4763115284139585,3.9048493402971545,12
665,4,1.4807180019374249,0.7049210255297669,2.1856390274671917,13
665,5,1.4936366860661578,0.7213248133011998,2.214961499367358,16
665,9,1.3423107110136088,1.6160697578007281,2.9583804688143367,26
665,126,2.627646292154993,1.315537757180035,3.943184049335028,25
665,148,2.5294777395053574,1.3902252083405913,3.9197029478459484,21
665,252,2.5548590159699582,1.4351781222097997,3.990037138179758,22
665,352,2.1304944803791743,1.5047227986105725,3.635217278989747,29
665,353,2.518608983058669,1.783528597461022,4.302137580519691,7
665,666,1.4833625382217634,1.463634611168997,2.9469971493907607,14
665,667,1.9662191813764496,0.913377192629075,2.8795963740055246,9
852,250,2.131193182415958,1.5620895322456194,3.6932827146615774,17
852,938,1.3848800633721845,1.0126799003493807,2.397559963721565,27
852,1097,1.5595659050088444,1.137321218827398,2.6968871238362424,6
852,1556,2.0846415726355474,0.7992765137202017,2.883918086355749,6
852,1990,1.465875088688231,1.8866075409997998,3.352482629688031,29
852,2748,2.4956190806817347,0.976182859795905,3.47180194047764,26
852,2749,2.628685105733456,0.8063610713417902,3.4350461770752463,19
852,2750,2.0346013553361426,0.5098348876915788,2.5444362430277216,24
852,2751,2.3610660322713315,0.7303662286340938,3.0914322609054254,25
852,2752,2.712061693409032,1.9304548991323522,4.642516592541384,26
1394,9,1.7993258029528794,1.1177459970653167,2.917071800018196,23
1394,126,2.0223500381429576,0.6113888747889776,2.633738912931935,26
1394,129,2.683092541813749,0.5323583084727616,3.2154508502865102,26
1394,177,1.0145318375554817,0.7428057153538201,1.7573375529093018,27
1394,248,2.265602518825263,1.704395672066242,3.969998190891505,30
1394,266,2.6556891255497588,1.852998155849568,4.508687281399327,15
1394,353,1.243919145672728,0.6215713685051079,1.865490514177836,15
1394,754,2.9393099917878702,1.5821201766837614,4.521430168471632,6
1394,1317,1.5136339120074742,1.8173977383750575,3.3310316503825317,27
1394,2018,2.679796781300899,0.615786188259515,3.295582969560414,20
1786,122,2.1012955878582154,0.9759221532360368,3.0772177410942523,10
1786,125,2.0805701633034728,1.880852090816699,3.961422254120172,8
1786,142,2.338610887549168,1.3832396231673323,3.7218505107165,28
1786,146,1.6266398066061645,1.8108978584846258,3.4375376650907903,7
1786,248,2.9786878280893587,0.8409431348550872,3.819630962944446,8
1786,249,1.3328124363404363,1.0149920434914836,2.34780447983192,24
1786,264,2.5902869518685367,0.5895974023810937,3.1798843542496305,14
1786,367,2.8121918824756635,0.9232054706611985,3.735397353136862,23
1786,1245,1.6720075127567295,1.6676130701400464,3.339620582896776,26
1842,628,1.3162254828194162,1.1116135372194726,2.427839020038889,15
1842,1342,2.631875195585052,1.6025044052301363,4.234379600815188,7
1842,1383,2.2288084797193966,0.7592753560738661,2.9880838357932626,12
1842,2494,1.5735108520566532,1.54453080415208,3.1180416562087334,10
1842,3577,2.468698251765579,0.5446759522797548,3.0133742040453337,24
1842,3578,1.693698608930396,0.5281166838636745,2.2218152927940706,29
1842,3579,1.6327309424785388,0.9722809389162619,2.605011881394801,11
1842,3580,1.788553728357272,1.125625525016959,2.914179253374231,23
1842,3581,2.0411935045387004,1.19363709176811,3.2348305963068107,24
1842,3582,1.7890028612849112,0.8053033938757138,2.594306255160625,21
1904,7,1.9866377883501833,1.6351157512694474,3.6217535396196308,26
1904,129,2.8453046445581696,0.9208287210591777,3.766133365617347,21
1904,144,2.268887201503895,1.3760764065557405,3.6449636080596353,8
1904,149,1.6987207787268597,0.9804001999836838,2.6791209787105434,11
1904,174,1.9034328321042984,0.9042325927197385,2.807665424824037,19
1904,247,2.4802403115687586,0.6748429295432354,3.155083241111994,26
1904,248,2.059212256746065,1.2957860130711039,3.3549982698171688,20
1904,252,1.9264290421052883,1.0035669337835444,2.9299959758888328,11
1904,353,1.4136162302345898,0.9512331357567709,2.3648493659913608,12
1907,4,1.0730641330518855,1.701930852827175,2.7749949858790606,27
1907,7,2.104257128358763,1.764877007869607,3.86913413622837,6
1907,129,1.0103732594209573,0.6485829861685413,1.6589562455894986,12
1907,145,1.0346298221948154,1.678727608875763,2.7133574310705786,21
1907,149,1.5644420449136653,1.3088833683236538,2.8733254132373194,30
1907,174,1.9954302096402508,1.4508096913417687,3.4462399009820195,20
1907,266,1.9589982583700791,1.1971633857089279,3.156161644079007,22
1907,666,2.248488517823989,1.7279776267300384,3.9764661445540277,20
124,122,1.7717833549439685,0.8462776086965127,2.618060963640481,17
124,123,2.0231546125200284,0.7641025770431593,2.7872571895631877,6
124,145,1.1523198772391006,1.016504653752363,2.1688245309914636,5
124,147,2.914766367571284,1.121962549602884,4.036728917174168,5
124,176,1.6979471641270905,1.2760102284819275,2.9739573926090177,25
124,248,2.4145989177185987,0.8482638211618889,3.2628627388804876,19
124,390,2.581636138174388,0.9872047403431161,3.568840878517504,25
124,762,1.9559483859618871,0.8359294195250495,2.7918778054869366,10
124,2063,1.2472496139453153,1.0344000315950126,2.2816496455403277,6
124,2064,1.7202797901614857,1.1349507025589682,2.855230492720454,25
147,8,2.9430780989259087,1.0276366874931737,3.9707147864190824,6
147,128,1.893280649308714,0.6458055600560845,2.5390862093647986,20
147,176,2.0749660057820103,1.2025512753750167,3.277517281157027,11
147,177,2.133308566579241,1.3271805378143826,3.4604891043936234,27
147,264,1.6376740375829097,1.5621793465694835,3.1998533841523935,23
147,367,1.1062736818373409,1.2237169566400754,2.3299906384774163,12
147,424,2.5126217266724575,0.8513363810767234,3.363958107749181,6
147,427,2.2167943522782636,0.7288920868000504,2.945686439078314,15
147,1246,1.5655381621271562,1.8173639988407708,3.382902160967927,27
248,326,2.0272460751169428,1.8526269522819774,3.8798730273989204,10
248,914,2.553077869303654,0.9114718029726996,3.4645496722763536,11
248,915,1.788125281125284,0.7906772154136135,2.5788024965388976,20
248,916,1.690725430571459,1.2289472388464102,2.919672669417869,26
248,917,2.192745652204163,1.7464529646336255,3.9391986168377886,18
248,918,1.2877888982613743,1.3916240587910735,2.679412957052448,17
248,919,1.144942725537047,1.1400256255176129,2.28496835105466,8
248,920,2.405721292538252,1.8591386945247836,4.264859987063035,8
248,921,2.071735794422447,0.9882689712444919,3.060004765666939,29
248,922,2.936990952826913,1.569340153933315,4.5063311067602285,26
250,51,2.085875433211707,1.7642848041607884,3.8501602373724957,12
250,64,2.2553172194929587,1.3286497826538137,3.5839670021467724,26
250,114,1.215116518548459,0.5622839203829123,1.7774004389313713,10
250,1349,1.650536011450133,0.659207745134265,2.309743756584398,11
250,1389,2.696085320305406,1.935461826796913,4.631547147102319,12
250,1644,2.829157867252443,0.9431892603793074,3.7723471276317504,27
250,1726,1.1264596803605285,0.626298757416214,1.7527584377767425,28
250,2018,2.7264844715452963,1.8639800303902567,4.590464501935553,22
250,4180,1.2189969275684844,1.397014764762279,2.6160116923307637,8
250,4181,1.6104203549877398,0.9387766556200022,2.549197010607742,22
251,513,2.7897364538151397,1.2889258648162398,4.0786623186313795,19
251,586,2.8989422820721633,1.705699879076264,4.604642161148427,30
251,873,2.485564746356805,1.123914584339004,3.609479330695809,6
251,1064,2.3345135314285734,1.1252293752618159,3.4597429066903893,12
251,1412,1.8274723928205123,0.9644401490991744,2.791912541919687,24
251,2206,2.353684583551769,1.4442622403468026,3.7979468238985716,7
251,2207,2.7063320029505165,0.805236657280583,3.5115686602310996,29
251,2208,1.4690797252181824,0.5901930953495784,2.059272820567761,13
251,2209,2.7994208537294725,1.2320242386144022,4.0314450923438745,12
251,2210,2.1228898140084334,1.644077183553123,3.766966997561556,19
252,62,2.5689793264359517,0.7493052219206198,3.3182845483565715,17
252,808,2.0834676481413763,1.6244886216486005,3.707956269789977,29
252,1475,2.1749292338172768,0.7536995272589693,2.9286287610762463,16
252,2211,1.4237578077045117,1.2257811254713982,2.6495389331759096,28
252,2212,2.5367124293876673,1.5368293003443319,4.073541729731999,21
252,2213,2.310281163670741,0.8281768324785322,3.1384579961492736,24
252,2214,1.0296890725438494,0.6638502487656288,1.6935393213094783,19
252,2215,2.3565963543332913,1.1640349961628556,3.5206313504961466,9
252,2216,1.7845279747776945,1.7647450408918943,3.5492730156695886,18
11,12,1.6460957509590404,1.9673225712423903,3.6134183222014307,5
11,13,2.633170222993777,1.8377180214418318,4.470888244435609,11
11,14,2.1646211642203945,1.491792119821183,3.6564132840415775,5
11,15,1.640020464009722,0.9132264329843933,2.553246896994115,8
11,16,2.9184211852147555,1.5705738092448367,4.488994994459592,5
11,17,1.2417776548053212,1.8212462738678155,3.063023928673137,29
11,18,1.2007027529033987,1.4965619885639228,2.6972647414673214,6
11,19,2.9192002647046253,1.2809283547386843,4.200128619443309,23
11,20,2.2694699182671223,0.801773877780009,3.0712437960471313,8
11,21,1.92006162196146,1.68392697436067,3.6039885963221296,11
13,2074,1.0322624784735017,0.7155696928033219,1.7478321712768237,25
14,809,2.542278818897664,1.4604235806296826,4.0027023995273465,21
15,3,2.8704760095551443,0.7050982003201764,3.5755742098753207,5
15,123,1.9043498645501777,1.6213955104700337,3.5257453750202115,15
15,129,1.3250046546563583,0.7346005381069547,2.059605192763313,27
15,143,1.5272909921343103,0.9920341721847785,2.519325164319089,24
15,251,1.1275169035253276,0.8811725269629458,2.0086894304882734,10
15,264,2.153378012547754,0.9525093609247426,3.1058873734724965,20
15,367,1.0220250339872852,0.5656097553088285,1.5876347892961138,26
15,426,1.8065918543771675,1.2907724668228542,3.097364321200022,24
15,427,1.6670778263749664,1.5452791219014752,3.2123569482764416,28
15,718,2.033690565140818,0.8845694484351942,2.9182600135760124,5
17,1050,1.6883523323339305,0.7325401294566737,2.4208924617906042,11
17,2254,1.3656565286955842,0.6367976575469709,2.002454186242555,24
17,2761,2.520769772098374,0.8177259245381315,3.338495696636506,30
17,3147,2.5281280380891546,0.669810443206877,3.1979384812960316,10
17,3169,1.3538509510905257,0.9772400122006533,2.331090963291179,26
17,3619,1.6684250104654574,1.1781248445493162,2.8465498550147736,13
17,3893,2.192996716389951,0.5712401292990801,2.764236845689031,22
17,4408,1.6678050145206826,1.945892216822903,3.6136972313435853,26
17,4953,2.3161330321343048,1.5185625929163198,3.8346956250506246,21
20,121,1.3614937464186587,0.7854800642815022,2.146973810700161,27
20,147,1.9968822532293635,1.276208917360058,3.2730911705894217,25
20,368,2.5869244692079363,1.7873367255640706,4.374261194772007,22
20,427,1.5863230197881864,1.4330267867086643,3.0193498064968507,20
20,717,2.5526046740999773,1.2199040760333715,3.7725087501333485,17
20,856,1.4226693479714136,1.31851174017329,2.7411810881447036,11
20,975,1.1654735173079243,0.9841625316747499,2.149636048982674,29
20,1908,1.681486353920869,1.4031020558195386,3.084588409740408,21
20,1909,1.5035545103559025,1.9638545109222365,3.467409021278139,15
20,1910,1.9621935618759214,0.9764479586005583,2.9386415204764798,26
21,92,1.383298355798529,1.3341592003717953,2.7174575561703245,13
21,1702,1.9369157997766624,0.8622391459101535,2.7991549456868157,21
21,1711,2.459484365882358,0.7181568172576536,3.1776411831400115,13
21,1833,1.5844304012811243,1.312601182844046,2.8970315841251706,24
21,1916,1.0427278254365688,1.8840338575371836,2.926761682973752,11
21,1917,1.3618298082429177,1.035173990505836,2.3970037987487536,6
21,1918,1.1898596493488616,0.8573196158247242,2.0471792651735856,5
21,1919,2.096747265132166,1.345037188377237,3.441784453509403,6
21,1920,2.2531541706589198,0.6060043737708148,2.8591585444297345,14
21,1921,1.2243060407647692,0.9873344422558992,2.2116404830206684,19
123,3,1.762937511763875,1.1721798959081258,2.935117407672001,27
123,7,2.3567713420966605,1.143311945861794,3.5000832879584545,12
123,143,2.7063804846426374,0.9838400873312874,3.6902205719739247,26
123,145,1.2368895858251252,0.8129958370861222,2.0498854229112475,25
123,146,1.653872880360934,1.6700530262075317,3.3239259065684656,20
123,147,2.2141325816460062,1.6332907129189715,3.847423294564978,6
123,252,2.151310123739609,0.6465704480864587,2.7978805718260675,9
123,367,2.6920326509411185,0.5673972922434959,3.2594299431846143,8
123,390,2.5531074988941835,1.952830372149144,4.5059378710433275,17
123,423,1.3670638887294193,1.4301415822670829,2.797205470996502,19
129,133,1.8255707190324844,0.7045773430812047,2.530148062113689,15
129,219,2.5065682631660975,1.0949442332222221,3.6015124963883194,20
129,778,1.6772900662033003,0.9060145787989675,2.5833046450022676,30
129,864,2.1744219994553733,1.2335402335822032,3.4079622330375763,18
129,2078,2.3841043437695473,1.205286310377599,3.589390654147146,23
129,2079,1.0483523950190976,0.9543746091605396,2.0027270041796372,16
129,2080,2.863988465618987,0.8341972078155182,3.698185673434505,16
129,2081,1.4953507699499633,1.4307352910425206,2.9260860609924837,23
129,2082,1.6543800039868652,1.1945710860318377,2.848951090018703,6
129,2083,2.082279235859519,0.7421208365789789,2.8244000724384977,11
143,122,1.543118150095109,0.5366021148861289,2.079720264981238,15
143,124,2.0916805428866176,1.686261202618443,3.7779417455050606,18
143,128,2.8295203542663856,1.474279250795334,4.3037996050617195,13
